product_id,product_name,category,brand,current_price,original_price,product_cost,rating,rating_count,description
SKU-10234,"Braided USB-C Fast Charging Cable, 6ft (2-Pack)",Electronics > Cables & Accessories,Wayona,12.99,18.99,6.20,4.2,24269,Durable braided cable with fast charging support.
SKU-55810,"Unbreakable Braided Type-C Cable, 60W Fast Charging",Electronics > Cables & Accessories,Ambrane,8.49,11.99,4.10,4,43994,Rugged braided Type-C cable rated for 60W.
SKU-77231,"Compact Wireless Mouse, Ergonomic Design",Electronics > Computer Accessories,Logitech,15.99,19.99,7.80,4.5,8123,Compact ergonomic wireless mouse for everyday use.
SKU-90021,Smart LED Desk Lamp with USB Charging Port,Home & Kitchen > Lighting,Anker,22.50,29.99,10.75,4.6,3210,Adjustable LED desk lamp with built-in USB charging.
SKU-40112,"Insulated Stainless Steel Water Bottle, 32oz",Home & Kitchen > Drinkware,Hydro Flask,34.99,34.99,16.00,4.3,1890,Double-wall insulated bottle keeps drinks cold for 24 hours.
00456-BOAT,Budget Bluetooth Earbuds with Charging Case,Electronics > Audio,boAt,14.00,24.00,13.42,3.9,6650,Affordable true wireless earbuds with charging case.
SKU-20938,"Non-Stick Ceramic Frying Pan, 10-inch",Home & Kitchen > Cookware,GreenPan,28.00,40.00,12.50,2.8,340,"Ceramic non-stick frying pan, oven safe to 400F."
SKU-88472,"Organic Cotton Weighted Blanket, 15lb",Home & Kitchen > Bedding,Luna,65.00,85.00,31.00,4.8,512,Weighted blanket with organic cotton cover.
SKU-31029,"Adjustable Laptop Stand, Aluminum",Electronics > Computer Accessories,Nulaxy,45.00,39.00,18.20,4.1,2210,Aluminum laptop stand with adjustable height.
SKU-77002,"Reusable Silicone Food Storage Bags, Set of 6",Home & Kitchen > Storage,Stasher,19.99,24.99,8.60,4.6,1420,Reusable silicone bags in six useful sizes.
SKU-64510,Memory Foam Seat Cushion for Office Chair,Home & Kitchen > Office,ComfiLife,32.99,32.99,14.10,4.4,980,Memory foam seat cushion for all-day comfort.
SKU-12805,"Portable Bluetooth Speaker, Waterproof",Electronics > Audio,Anker,39.99,49.99,19.00,4.5,5320,Waterproof portable speaker with 12-hour battery.
SKU-10234,"Braided USB-C Fast Charging Cable, 6ft (2-Pack)",Electronics > Cables & Accessories,Wayona,13.49,18.99,6.20,4.3,24269,Durable braided cable with fast charging support.
